Customer Key,Customer,Bill To Customer,Category,Buying Group,Primary Contact,Postal Code,State Key
1,Tailspin Toys (Head Office),Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Waldemar Fisar,90410,27
2,"Tailspin Toys (Sylvanite, MT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lorena Cindric,90216,26
3,"Tailspin Toys (Peeples Valley, AZ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bhaargav Rambhatla,90205,3
4,"Tailspin Toys (Medicine Lodge, KS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Daniel Roman,90152,16
5,"Tailspin Toys (Gasport, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Johanna Huiting,90261,32
6,"Tailspin Toys (Jessie, ND)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Biswajeet Thakur,90298,34
7,"Tailspin Toys (Frankewing, TN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kalidas Nadar,90761,42
8,"Tailspin Toys (Bow Mar, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kanti Kotadia,90484,6
9,"Tailspin Toys (Netcong, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sointu Aalto,90129,30
10,"Tailspin Toys (Wimbledon, ND)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Siddhartha Parkar,90061,34
11,"Tailspin Toys (Devault, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Elnaz Javan,90185,38
12,"Tailspin Toys (Biscay, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Heloisa Fernandes,90054,23
13,"Tailspin Toys (Stonefort, IL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Razeena Hosseini,90685,13
14,"Tailspin Toys (Long Meadow, MD)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tereza Valentova,90633,20
15,"Tailspin Toys (Batson, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Filips Jaunzems,90631,43
16,"Tailspin Toys (Coney Island, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nitin Matondkar,90467,25
17,"Tailspin Toys (East Fultonham, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Adam Kubat,90416,35
18,"Tailspin Toys (Goffstown, NH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Isabelle Vodlan,90321,29
19,"Tailspin Toys (Lemeta, AK)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Mithun Bhattacharya,90303,2
20,"Tailspin Toys (College Place, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nghi Hua,90050,47
21,"Tailspin Toys (Tresckow, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Duleep Raju,90790,38
22,"Tailspin Toys (Ward Ridge, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Cristina Longo,90784,9
23,"Tailspin Toys (Ikatan, AK)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Hang Tang,90019,2
24,"Tailspin Toys (Dundarrach, NC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Intira Mookjai,90758,33
25,"Tailspin Toys (Avenal, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sulabha Khalsa,90352,5
26,"Tailspin Toys (Hedrick, IA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Dhanishta Majji,90331,15
27,"Tailspin Toys (Bowlus, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Paula Gonzales,90703,23
28,"Tailspin Toys (North Ridge, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tatjana Utjesenovic,90024,32
29,"Tailspin Toys (Eulaton, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Karel Hanak,90571,1
30,"Tailspin Toys (Koontzville, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Odessa Schneider,90288,47
